a
able
ai
aie
aient
air
aire
aires
ais
aise
aises
ait
al
ale
ant
ille
arcat
archie
archique
as
âtre
atrie
atrique
aux
e
é
ée
el
ent
ents
er
erd
erf
ert
erez
erre
esse
et
ette
eur
eure
eures
euse
euses
eux
ez
forme
gène
gone
gramme
graphe
graphie
i
ien
iens
ienne
iennes
iez
ions
ique
ir
isation
iser
isme
ismes
iste
istes
ite
ites
logie
ment
morphe
ont
phobie
que
ques
re
es
tion
s
isé
isés
